plasmid,start,end,direction,gene_name,type,product
pD25466_reorientated_repA2,17144,18005,<=,AAC(3)-II,CDS,"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"
pD25466_reorientated_repA2,18039,22989,<=,Tn2,CDS,Tn2
pD25466_reorientated_repA2,18186,19047,<=,bla-TEM-1B,CDS,Class A beta-lactamase (EC 3.5.2.6) => TEM family
pD25466_reorientated_repA2,23182,24002,<=,IS26,misc_feature,unknown
pD25466_reorientated_repA2,24217,24487,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,24680,25025,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,25132,25768,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,25767,27876,<=,"Bacteriocin/lantibiotic efflux ABC transporter,",CDS,"Bacteriocin/lantibiotic efflux ABC transporter, permease/ATP-binding protein"
pD25466_reorientated_repA2,27865,29143,<=,Putative secretion permease,CDS,Putative secretion permease
pD25466_reorientated_repA2,29229,29373,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,29499,29628,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,29627,29786,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,29801,30338,=>,FIG00643352: hypothetical protein,CDS,FIG00643352: hypothetical protein
pD25466_reorientated_repA2,30355,30679,=>,FIG00643352: hypothetical protein,CDS,FIG00643352: hypothetical protein
pD25466_reorientated_repA2,30719,31136,<=,VapC toxin protein,CDS,VapC toxin protein
pD25466_reorientated_repA2,31132,31363,<=,VapB protein,CDS,VapB protein (antitoxin to VapC)
pD25466_reorientated_repA2,31452,31791,=>,FIG00639340: hypothetical protein,CDS,FIG00639340: hypothetical protein
pD25466_reorientated_repA2,31980,32232,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,32277,32586,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,32411,32426,<=,classifier_predicted_region,misc_feature,Cefepime resistance predicted region
pD25466_reorientated_repA2,32613,32943,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,32968,33367,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,33373,33706,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,33705,34488,=>,Resolvase,CDS,Resolvase
pD25466_reorientated_repA2,34585,34708,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,34753,35002,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,35379,35610,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,36145,44299,<=,ISKpn25,insert,unknown
pD25466_reorientated_repA2,44542,44716,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,44717,45050,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,45069,45255,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,45426,46401,<=,Chromosome,CDS,Chromosome (plasmid) partitioning protein ParB
pD25466_reorientated_repA2,46397,47603,<=,Chromosome,CDS,Chromosome (plasmid) partitioning protein ParA
pD25466_reorientated_repA2,47924,48821,<=,Phage protein,CDS,Phage protein
pD25466_reorientated_repA2,48845,48971,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,49221,50493,<=,"Error-prone, lesion bypass DNA polymerase V",CDS,"Error-prone, lesion bypass DNA polymerase V (UmuC)"
pD25466_reorientated_repA2,50492,50924,<=,Error-prone repair protein UmuD,CDS,Error-prone repair protein UmuD
pD25466_reorientated_repA2,50935,51058,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,51155,52127,=>,COG0443: Molecular chaperone,CDS,COG0443: Molecular chaperone
pD25466_reorientated_repA2,52129,52801,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,52861,53092,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,53210,53327,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,53528,54230,=>,Adenine-specific methyltransferase,CDS,Adenine-specific methyltransferase (EC 2.1.1.72)
pD25466_reorientated_repA2,54229,54451,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,54460,54880,=>,Adenine-specific methyltransferase,CDS,Adenine-specific methyltransferase (EC 2.1.1.72)
pD25466_reorientated_repA2,54933,55218,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,55204,56218,<=,IntI1,CDS,Integron integrase IntI1
pD25466_reorientated_repA2,55307,55326,<=,classifier_predicted_region,misc_feature,Ciprofloxacin resistance predicted region
pD25466_reorientated_repA2,55307,55324,<=,classifier_predicted_region,misc_feature,Trimethoprim_Sulfamethoxazole resistance predicted region
pD25466_reorientated_repA2,56127,56142,<=,classifier_predicted_region,misc_feature,Gentamicin resistance predicted region
pD25466_reorientated_repA2,56216,57179,=>,APH(3'')-I,CDS,Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I
pD25466_reorientated_repA2,57178,58015,=>,APH(6)-Ic,CDS,Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) =>
pD25466_reorientated_repA2,57322,57337,<=,classifier_predicted_region,misc_feature,Aztreonam resistance predicted region
pD25466_reorientated_repA2,58142,58463,=>,Transposase,CDS,Transposase
pD25466_reorientated_repA2,58572,59373,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,59369,59501,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,59493,59802,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,59816,60482,=>,Putative antirestriction protein,CDS,Putative antirestriction protein
pD25466_reorientated_repA2,60524,61031,=>,Antirestriction protein ArdA,CDS,Antirestriction protein ArdA
pD25466_reorientated_repA2,61073,61265,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,61452,61707,=>,DNA polymerase III theta subunit,CDS,DNA polymerase III theta subunit (EC 2.7.7.7)
pD25466_reorientated_repA2,61741,62059,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,62395,62824,=>,Single-stranded DNA-binding protein,CDS,Single-stranded DNA-binding protein
pD25466_reorientated_repA2,62842,63070,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,63161,63392,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,63443,64799,=>,hypothetical plasmid protein,CDS,hypothetical plasmid protein
pD25466_reorientated_repA2,64846,65410,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,65781,66753,=>,Single-stranded DNA-binding protein,CDS,Single-stranded DNA-binding protein
pD25466_reorientated_repA2,66800,67043,=>,UPF0401 protein YkfF,CDS,UPF0401 protein YkfF
pD25466_reorientated_repA2,67111,69121,=>,putative plasmid stabilization protein,CDS,putative plasmid stabilization protein
pD25466_reorientated_repA2,69166,69598,=>,Plasmid SOS inhibition protein PsiB,CDS,Plasmid SOS inhibition protein PsiB
pD25466_reorientated_repA2,69594,70317,=>,Plasmid SOS inhibition protein PsiA,CDS,Plasmid SOS inhibition protein PsiA
pD25466_reorientated_repA2,70320,70644,=>,FIG00641039: hypothetical protein,CDS,FIG00641039: hypothetical protein
pD25466_reorientated_repA2,70757,71114,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,71161,71434,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,71430,71781,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,71952,72411,=>,Single-stranded DNA-binding protein,CDS,Single-stranded DNA-binding protein
pD25466_reorientated_repA2,72412,72766,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,72822,73170,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,73264,73411,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,73461,74295,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,74376,74502,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,74659,75085,=>,Single-stranded DNA-binding protein,CDS,Single-stranded DNA-binding protein
pD25466_reorientated_repA2,75114,75936,=>,UPF0380 proteins YafZ and homologs,CDS,UPF0380 proteins YafZ and homologs
pD25466_reorientated_repA2,75983,76298,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,76330,76816,<=,X polypeptide,CDS,X polypeptide
pD25466_reorientated_repA2,77237,77636,=>,traM,CDS,IncF plasmid conjugative transfer mating signal transduction protein TraM
pD25466_reorientated_repA2,77809,78496,=>,traJ,CDS,IncF plasmid conjugative transfer regulator TraJ
pD25466_reorientated_repA2,78574,78961,=>,traY,CDS,IncF plasmid conjugative transfer regulator TraY
pD25466_reorientated_repA2,79014,79383,=>,traA,CDS,IncF plasmid conjugative transfer pilin protein TraA
pD25466_reorientated_repA2,79396,79702,=>,traL,CDS,IncF plasmid conjugative transfer pilus assembly protein TraL
pD25466_reorientated_repA2,79721,80288,=>,traE,CDS,IncF plasmid conjugative transfer pilus assembly protein TraE
pD25466_reorientated_repA2,80274,81015,=>,traK,CDS,IncF plasmid conjugative transfer pilus assembly protein TraK
pD25466_reorientated_repA2,80298,80313,<=,classifier_predicted_region,misc_feature,Imipenem resistance predicted region
pD25466_reorientated_repA2,81014,82439,=>,traB,CDS,IncF plasmid conjugative transfer pilus assembly protein TraB
pD25466_reorientated_repA2,81825,81840,<=,classifier_predicted_region,misc_feature,Levofloxacin resistance predicted region
pD25466_reorientated_repA2,82552,83137,=>,traV,CDS,IncF plasmid conjugative transfer pilus assembly protein TraV
pD25466_reorientated_repA2,83268,83679,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,83784,84003,=>,probable fimbrial protein staA,CDS,probable fimbrial protein staA
pD25466_reorientated_repA2,84003,84315,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,84381,84786,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,84828,85218,=>,FIG00644824: hypothetical protein,CDS,FIG00644824: hypothetical protein
pD25466_reorientated_repA2,85234,85624,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,85695,88335,=>,traC,CDS,IncF plasmid conjugative transfer pilus assembly protein TraC
pD25466_reorientated_repA2,88334,88724,=>,trbI,CDS,IncF plasmid conjugative transfer protein TrbI
pD25466_reorientated_repA2,88723,89350,=>,traW,CDS,IncF plasmid conjugative transfer pilus assembly protein TraW
pD25466_reorientated_repA2,89391,89781,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,89777,90767,=>,traU,CDS,IncF plasmid conjugative transfer pilus assembly protein TraU
pD25466_reorientated_repA2,90779,91418,=>,trbC,CDS,IncF plasmid conjugative transfer protein TrbC
pD25466_reorientated_repA2,91476,93432,=>,traN,CDS,IncF plasmid conjugative transfer protein TraN
pD25466_reorientated_repA2,93463,93718,=>,trbE,CDS,IncF plasmid conjugative transfer protein TrbE
pD25466_reorientated_repA2,93695,93944,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,93956,94283,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,94303,95056,=>,traF,CDS,IncF plasmid conjugative transfer pilus assembly protein TraF
pD25466_reorientated_repA2,95066,95306,=>,traQ,CDS,IncF plasmid conjugative transfer protein TraQ
pD25466_reorientated_repA2,95277,95835,=>,trbB,CDS,IncF plasmid conjugative transfer protein TrbB
pD25466_reorientated_repA2,95880,96324,=>,trbF,CDS,IncF plasmid conjugative transfer protein TrbF
pD25466_reorientated_repA2,96313,97681,=>,traH,CDS,IncF plasmid conjugative transfer pilus assembly protein TraH
pD25466_reorientated_repA2,97680,100530,=>,traG,CDS,IncF plasmid conjugative transfer protein TraG
pD25466_reorientated_repA2,100532,101066,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,101251,101983,=>,traT,CDS,IncF plasmid conjugative transfer surface exclusion protein TraT
pD25466_reorientated_repA2,101893,101909,<=,classifier_predicted_region,misc_feature,Meropenem resistance predicted region
pD25466_reorientated_repA2,102174,102864,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,102992,105305,=>,traD,CDS,IncF plasmid conjugative transfer protein TraD
pD25466_reorientated_repA2,105304,110566,=>,traI,CDS,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI
pD25466_reorientated_repA2,107876,107891,<=,classifier_predicted_region,misc_feature,Ciprofloxacin resistance predicted region
pD25466_reorientated_repA2,110646,111372,=>,traX,CDS,IncF plasmid conjugative transfer pilin acetylase TraX
pD25466_reorientated_repA2,111443,112037,=>,IncF plasmid conjugative transfer fertility inh,CDS,IncF plasmid conjugative transfer fertility inhibition protein FinO
pD25466_reorientated_repA2,112203,112800,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,112849,113494,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,113549,114200,=>,YihA,CDS,YihA
pD25466_reorientated_repA2,114196,114505,=>,FIG00243524: hypothetical protein,CDS,FIG00243524: hypothetical protein
pD25466_reorientated_repA2,114599,115160,=>,Endonuclease,CDS,Endonuclease
