plasmid,start,end,direction,gene_name,type,product
RS2.6_CTX_32_25_8_IS1A_reorientated,7515,7540,=>,rop (fragment),CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,7668,8013,=>,REDF_ECOLI (fragment),CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,8412,8508,<=,REXA_LAMBD (fragment),CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,8620,9049,<=,#NAME?,repressor,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,8620,8825,<=,#NAME?,repressor,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,9047,9815,<=,IS1A,insert,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,9815,10111,<=,#NAME?,repressor,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,10211,10277,=>,RCRO_LAMBD (fragment),CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,10334,10436,=>,TcR (fragment),CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,10459,11665,=>,TcR,CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,11780,11927,<=,TETC_ECOLX (fragment),CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,11969,12029,=>,VFUS_VACC6 (fragment),CDS,unknown
