,Sample,Insertion,Evidence,position,concentration,assay
49,RS2 2.5 CTX 3200 43,Tn2,Plasmidsaurus plasmid,8314,CTX 3200,2.5
50,RS2 2.5 CTX 3200 46,Tn2,Plasmidsaurus RCA,8623,CTX 3200,2.5
51,RS2 2.6 CTX 32 5,IS10R,PCR,0,CTX 32,2.6
52,RS2 2.6 CTX 32 21,Tn2,Plasmidsaurus RCA,8426,CTX 32,2.6
53,RS2 2.6 CTX 32 25,IS1A,Plasmidsaurus plasmid PS virtual gel,8044,CTX 32,2.6
54,RS2 2.6 CTX 32 28,Tn2,Plasmidsaurus RCA,8314,CTX 32,2.6
55,RS2 2.6 CTX 320 33,Tn2,Plasmidsaurus RCA,8572,CTX 320,2.6
56,RS2 2.6 CTX 320 34,ISKpn25,Plasmidsaurus amplicon (ISKpn25 IRR) ,0,CTX 320,2.6
57,RS2 2.6 CTX 3200 4,Tn2,PCR,0,CTX 3200,2.6
58,RS2 2.6 CTX 3200 7,Tn2,Plasmidsaurus RCA,8058,CTX 3200,2.6
59,RS2 2.6 CTX 3200 11,Tn2,Plasmidsaurus plasmid,8351,CTX 3200,2.6
60,RS2 2.6 CTX 3200 20,Tn2,Plasmidsaurus plasmid,8623,CTX 3200,2.6
61,RS2 2.6 CTX 3200 21,Tn2,Plasmidsaurus RCA,8426,CTX 3200,2.6
62,RS2 2.6 CTX 3200 43,IS1A,Plasmidsaurus RCA + PCR,8149,CTX 3200,2.6
