plasmid,start,end,direction,gene_name,type,product
DH5a_AziR_reorientated_DnaA,176025,177633,=>,"Dipeptide ABC transporter, substrate-binding pr",CDS,"Dipeptide ABC transporter, substrate-binding protein DppA (TC 3.A.1.5.2) @ Dipeptide chemoreceptor"
DH5a_AziR_reorientated_DnaA,177695,177836,<=,hypothetical protein,CDS,hypothetical protein
DH5a_AziR_reorientated_DnaA,177940,178960,=>,"Dipeptide ABC transporter, permease protein DppB",CDS,"Dipeptide ABC transporter, permease protein DppB (TC 3.A.1.5.2)"
DH5a_AziR_reorientated_DnaA,178969,179872,=>,"Dipeptide ABC transporter, permease protein DppC",CDS,"Dipeptide ABC transporter, permease protein DppC (TC 3.A.1.5.2)"
DH5a_AziR_reorientated_DnaA,179882,180866,=>,"Dipeptide ABC transporter, ATP-binding protein",CDS,"Dipeptide ABC transporter, ATP-binding protein DppD (TC 3.A.1.5.2)"
DH5a_AziR_reorientated_DnaA,180862,181867,=>,"Dipeptide ABC transporter, ATP-binding protein",CDS,"Dipeptide ABC transporter, ATP-binding protein DppF (TC 3.A.1.5.2)"
DH5a_AziR_reorientated_DnaA,181896,183168,<=,HAAAP family transport protein YhjV,CDS,HAAAP family transport protein YhjV
DH5a_AziR_reorientated_DnaA,183583,183751,=>,"Small inner membrane protein, YmgF family",CDS,"Small inner membrane protein, YmgF family"
DH5a_AziR_reorientated_DnaA,183837,185517,<=,Cellulose biosynthesis protein BcsG,CDS,Cellulose biosynthesis protein BcsG
DH5a_AziR_reorientated_DnaA,185513,185705,<=,Cellulose biosynthesis protein BcsF,CDS,Cellulose biosynthesis protein BcsF
DH5a_AziR_reorientated_DnaA,185701,187261,<=,Cellulose biosynthesis protein BcsE,CDS,Cellulose biosynthesis protein BcsE
DH5a_AziR_reorientated_DnaA,187545,187734,=>,Putative cytoplasmic protein YhjR,CDS,Putative cytoplasmic protein YhjR
DH5a_AziR_reorientated_DnaA,187769,188498,=>,Cellulose biosynthesis protein BcsQ,CDS,Cellulose biosynthesis protein BcsQ
DH5a_AziR_reorientated_DnaA,188494,191113,=>,Cellulose synthase catalytic subunit [UDP-formi,CDS,Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)
DH5a_AziR_reorientated_DnaA,191159,193463,=>,Cyclic di-GMP-binding protein BcsB,CDS,Cyclic di-GMP-binding protein BcsB
DH5a_AziR_reorientated_DnaA,193469,194576,=>,"beta-1,4-glucanase",CDS,"beta-1,4-glucanase (cellulase) (EC 3.2.1.4)"
DH5a_AziR_reorientated_DnaA,194557,198031,=>,Cellulose synthase operon protein C,CDS,Cellulose synthase operon protein C
DH5a_AziR_reorientated_DnaA,198151,200101,=>,c-di-GMP phosphodiesterase,CDS,c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeK
DH5a_AziR_reorientated_DnaA,200283,201570,=>,Na+/H+-dicarboxylate symporter,CDS,Na+/H+-dicarboxylate symporter
DH5a_AziR_reorientated_DnaA,201790,203287,=>,"Protein YhjJ, putative peptidase",CDS,"Protein YhjJ, putative peptidase"
DH5a_AziR_reorientated_DnaA,203382,204312,<=,2-dehydro-3-deoxygluconokinase,CDS,2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)
DH5a_AziR_reorientated_DnaA,204316,204445,=>,hypothetical protein,CDS,hypothetical protein
DH5a_AziR_reorientated_DnaA,204543,205311,=>,c-di-GMP phosphodiesterase,CDS,c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeH
DH5a_AziR_reorientated_DnaA,205380,207441,=>,Uncharacterized protein YhjG,CDS,Uncharacterized protein YhjG
DH5a_AziR_reorientated_DnaA,207622,208945,<=,Uncharacterized MFS-type transporter YhjE,CDS,Uncharacterized MFS-type transporter YhjE
DH5a_AziR_reorientated_DnaA,209355,210369,<=,Inner membrane protein YhjD,CDS,Inner membrane protein YhjD
